Title,Notes,DiscoveryDateSpecified,ReleaseDateSpecified,CVE,ProductStatuses,Threats,CVSSScoreSets,Remediations,Acknowledgments,Ordinal,RevisionHistory
{'Value': 'Chromium: CVE-2024-1283 Heap buffer overflow in Skia'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>121.0.2277.112</td>\n<td>2/8/2024</td>\n<td>121.0.6167.160/161</td>\n</tr>\n<tr>\n<td>Extended Stable</td>\n<td>120.0.2210.175</td>\n<td>2/8/2024</td>\n<td>120.0.6099.283</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1283,"[{'ProductID': ['11655', '12142'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['12142'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['12142'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '121.0.2277.113'}, {'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['12142'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '120.0.2210.175'}]",[],6,"[{'Number': '1.0', 'Date': '2024-02-08T20:01:52', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1284 Use after free in Mojo'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>121.0.2277.112</td>\n<td>2/8/2024</td>\n<td>121.0.6167.160/161</td>\n</tr>\n<tr>\n<td>Extended Stable</td>\n<td>120.0.2210.175</td>\n<td>2/8/2024</td>\n<td>120.0.6099.283</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1284,"[{'ProductID': ['11655', '12142'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['12142'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['12142'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '121.0.2277.113'}, {'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['12142'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '120.0.2210.175'}]",[],7,"[{'Number': '1.0', 'Date': '2024-02-08T20:01:57', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1669 Out of bounds memory access in Blink'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1669,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],8,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:15', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1670 Use after free in Mojo'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1670,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],9,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:19', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1671 Inappropriate implementation in Site Isolation'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1671,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],10,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:21', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1672 Inappropriate implementation in Content Security Policy'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1672,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],11,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:23', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1673 Use after free in Accessibility'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1673,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],12,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:25', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1674 Inappropriate implementation in Navigation'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1674,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],13,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:27', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1675 Insufficient policy enforcement in Download'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1675,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],14,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:29', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
{'Value': 'Chromium: CVE-2024-1676 Inappropriate implementation in Navigation'},"[{'Title': 'Description', 'Type': 2, 'Ordinal': '0', 'Value': '<p>This CVE was assigned by Chrome.  Microsoft Edge (Chromium-based) ingests Chromium, which addresses this vulnerability. Please see <a href=""https://chromereleases.googleblog.com/2024"">Google Chrome Releases</a> for more information.</p>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<p><strong>Why is this Chrome CVE included in the Security Update Guide?</strong></p>\n<p>The vulnerability assigned to this CVE is in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based). It is being documented in the Security Update Guide to announce that the latest version of Microsoft Edge (Chromium-based) is no longer vulnerable.</p>\n<p><strong>How can I see the version of the browser?</strong></p>\n<ol>\n<li>In your Microsoft Edge browser, click on the 3 dots (...) on the very right-hand side of the window</li>\n<li>Click on <strong>Help and Feedback</strong></li>\n<li>Click on <strong>About Microsoft Edge</strong></li>\n</ol>\n'}, {'Title': 'FAQ', 'Type': 4, 'Ordinal': '10', 'Value': '<table>\n<thead>\n<tr>\n<th>Microsoft Edge Channel</th>\n<th>Microsoft Edge Version</th>\n<th>Date Released</th>\n<th>Based on Chromium Version</th>\n</tr>\n</thead>\n<tbody>\n<tr>\n<td>Stable</td>\n<td>122.0.2365.52</td>\n<td>2/23/2024</td>\n<td>122.0.6261.57/.58</td>\n</tr>\n</tbody>\n</table>\n'}, {'Title': 'Microsoft Edge (Chromium-based)', 'Type': 7, 'Ordinal': '20', 'Value': 'Microsoft Edge (Chromium-based)'}, {'Title': 'Chrome', 'Type': 8, 'Ordinal': '30', 'Value': 'Chrome'}]",False,False,CVE-2024-1676,"[{'ProductID': ['11655'], 'Type': 3}]","[{'Description': {}, 'ProductID': ['11655'], 'Type': 0, 'DateSpecified': False}, {'Description': {}, 'ProductID': ['11655'], 'Type': 3, 'DateSpecified': False}, {'Description': {'Value': 'DOS:N/A'}, 'Type': 1, 'DateSpecified': False}]",[],"[{'Description': {'Value': 'Release Notes'}, 'URL': '', 'ProductID': ['11655'], 'Type': 2, 'DateSpecified': False, 'AffectedFiles': [], 'RestartRequired': {'Value': 'No'}, 'SubType': 'Security Update', 'FixedBuild': '122.0.2365.52'}]",[],15,"[{'Number': '1.0', 'Date': '2024-02-23T18:57:31', 'Description': {'Value': '<p>Information published.</p>\n'}}]"
